X,Y,OBJECTID,GLOBALID,DAMAGE,STRUCTURETYPE
-13152410.0809,4056063.3026,16853,35bb3219-6dd6-453d-9897-931cf217b603,Destroyed (>50%),Single Family Residence Single Story
-13149827.6258512,4053424.69346061,16854,75ab2956-d1e5-42a9-a622-0202e8599d7e,No Damage,Utility Misc Structure
-13139624.1146,4053972.8567,16855,d5fbeffe-fcf4-499b-860a-5bff9c7e6bd0,Affected (1-9%),Infrastructure
-13153440.6902,4055731.8683,16856,ef47625e-1956-413b-89de-725f51855981,Destroyed (>50%),Single Family Residence Single Story
-13145192.3606,4053052.6232,16857,3fcbcfaa-1de4-4790-aa86-994625c7594e,No Damage,Utility Misc Structure
-13153441.7892,4055741.5098,16858,54e64b64-2c4c-47da-a85c-fa7a3ff3e5c8,Destroyed (>50%),Utility Misc Structure
-13151951.9227,4056309.935,16859,668305f0-a402-4697-a81b-0e367f224a81,Destroyed (>50%),Single Family Residence Single Story
-13151955.4878,4056295.3224,16860,8ca95de9-1a3b-46d5-8963-80b303b1cb58,Destroyed (>50%),Single Family Residence Single Story
-13151976.9544,4056286.6211,16861,ee7f8211-3f80-43bb-9ecc-476901bba45d,Destroyed (>50%),Utility Misc Structure
-13151965.8268,4056271.4892,16862,89d249b0-1c4d-49e5-a721-8b38b09a2aae,Destroyed (>50%),Single Family Residence Single Story
-13151513.3573,4056539.011,16863,253d4231-acc6-444d-ba8e-7dde66576d13,Destroyed (>50%),Single Family Residence Single Story
-13151529.7989,4056557.465,16864,1d9308d0-8f60-455b-ba5f-cf9d2dccc1af,Destroyed (>50%),Utility Misc Structure
-13151527.7875,4056523.1524,16865,e909bac9-0334-4400-a413-e1a1df9a3b1d,Affected (1-9%),Single Family Residence Single Story
-13151541.1857,4056538.5495,16866,90635205-7add-4cc3-9bef-243044d9d21a,Destroyed (>50%),Utility Misc Structure
-13151553.7656,4056535.8207,16867,154c3a71-6dc3-4c7b-b713-c4e923b61157,Destroyed (>50%),Utility Misc Structure
-13151542.1017,4056505.3421,16868,e4e46e86-31b4-4398-9658-6bc2dba08ce9,Affected (1-9%),Single Family Residence Single Story
-13151554.2489,4056479.6756,16869,f28d707d-f195-4643-bb60-b93d25b145c8,Destroyed (>50%),Single Family Residence Single Story
-13151563.1725,4056495.7303,16870,99a2bd08-c215-4cfa-8ddb-b945decdabdb,Destroyed (>50%),Single Family Residence Single Story
-13151563.1921,4056460.7383,16871,85b34103-758f-4fe0-8dce-b8b772a9d56d,No Damage,Single Family Residence Single Story
-13151580.2309,4056472.3912,16872,7783ac37-9348-4835-b482-aacff303a6e4,No Damage,Utility Misc Structure
-13152405.9627,4056078.8753,16873,242227fd-25e9-4dc7-836f-e92cc7aa92ae,Destroyed (>50%),Utility Misc Structure
-13152384.1022,4056062.6841,16874,7a79483e-515d-4f6e-bb37-8ae9c9c30814,Destroyed (>50%),Single Family Residence Single Story
-13152430.8588,4056065.8681,16875,47480c1d-141a-4b97-903e-d27a665a4c64,No Damage,Single Family Residence Single Story
-13152441.1982,4056093.5745,16876,f59d0950-7e29-4deb-8ab5-64b00a137a20,No Damage,Utility Misc Structure
-13151950.2061,4057971.8834,16877,c0f30235-b51a-42af-a337-1086f8fa24d9,No Damage,Single Family Residence Multi Story
-13151886.2304,4058227.9835,16878,0b3388ce-3675-4a6c-bf4b-6cf7d8e1af9f,No Damage,Utility Misc Structure
-13151573.6322,4056417.2655,16879,926ab1e0-2a75-4edd-acad-87271228525a,Affected (1-9%),Single Family Residence Single Story
-13151599.4612,4056430.8752,16880,68f9e292-2f7c-4d52-8248-2e959ccd75c0,No Damage,Utility Misc Structure
-13151604.9861,4056430.9449,16881,6dd2d9e3-0216-451d-b906-fdb56d44e3d8,Affected (1-9%),Single Family Residence Single Story
-13151574.1712,4056441.3484,16882,05c8abdc-928f-4db7-8076-05e9558f45fd,Affected (1-9%),Single Family Residence Single Story
-13151589.0712,4056450.0957,16883,ec1172a7-ef13-48c5-8664-b48c602dcf93,No Damage,Utility Misc Structure
-13151935.3047,4058014.5328,16884,87cb7df5-b10b-40fc-8b59-7020c363250e,No Damage,Single Family Residence Single Story
-13151946.2947,4058010.8149,16885,5b9d024f-11e8-4441-8920-760fedd5670a,No Damage,Utility Misc Structure
